date,action,old_pos,new_pos,delta,price,forecast,equity
2014-08-26,ADD,3275.6481,3522.651,247.0029,164.22,20.0,215828.91
2014-08-28,ADD,3522.651,3711.3119,188.661,164.07,20.0,215280.22
2014-09-02,ADD,3711.3119,3916.4254,205.1135,164.45,20.0,216710.07
2014-09-08,ADD,3916.4254,4227.4716,311.0461,164.44,20.0,216646.07
2014-09-16,REDUCE,4227.4716,3994.6702,-232.8014,164.35,20.0,216264.45
2014-09-19,ADD,3994.6702,4373.3302,378.6601,165.3,20.0,220057.3
2014-09-22,REDUCE,4373.3302,4136.0928,-237.2374,164.02,20.0,214474.32
2014-09-24,REDUCE,4136.0928,3753.2892,-382.8037,164.36,20.0,215870.8
2014-09-25,REDUCE,3753.2892,2923.3916,-829.8976,161.7,18.3,205917.39
2014-09-26,REDUCE,2923.3916,2626.1318,-297.2597,162.99,17.72,209673.47
2014-09-29,ADD,2626.1318,2808.2949,182.1631,162.69,18.1,208894.88
2014-10-01,REDUCE,2808.2949,2465.996,-342.2989,160.07,16.89,201516.59
2014-10-03,REDUCE,2465.996,2158.5251,-307.4709,161.85,15.88,205923.89
2014-10-06,ADD,2158.5251,2315.6935,157.1684,161.66,16.21,205515.02
2014-10-07,REDUCE,2315.6935,1933.7264,-381.9671,159.17,14.72,199736.28
2014-10-08,REDUCE,1933.7264,1407.6499,-526.0765,161.95,12.7,205119.3
2014-10-09,REDUCE,1407.6499,1195.2421,-212.4078,158.74,11.46,200597.85
2014-10-13,REDUCE,1195.2421,1074.3517,-120.8904,154.35,10.79,195351.05
2014-10-20,REDUCE,1074.3517,950.9038,-123.4479,156.73,9.59,197908.19
2014-10-21,REDUCE,950.9038,760.4002,-190.5037,159.84,8.5,200860.69
2014-10-30,ADD,760.4002,864.0288,103.6286,164.21,8.85,204186.19
2014-11-05,ADD,864.0288,995.1714,131.1426,166.65,9.62,206292.48
2014-11-07,ADD,995.1714,1127.9779,132.8065,167.47,10.3,207112.1
2014-11-11,ADD,1127.9779,1279.506,151.5281,168.16,11.07,207892.45
2014-11-13,ADD,1279.506,1444.9561,165.45,168.17,11.88,207903.03
2014-11-17,ADD,1444.9561,1637.1962,192.2401,168.32,12.74,208117.21
2014-11-19,ADD,1637.1962,1807.5349,170.3387,169.02,13.46,209263.42
2014-11-21,ADD,1807.5349,1998.0706,190.5356,170.22,14.29,211436.78
2014-11-25,ADD,1998.0706,2276.8,278.7294,170.57,15.33,212144.48
2014-11-28,ADD,2276.8,2541.9263,265.1263,170.65,16.32,212313.07
2014-12-04,ADD,2541.9263,2763.0206,221.0943,171.03,17.24,213276.27
2014-12-09,ADD,2763.0206,2961.9005,198.8798,170.05,18.11,210568.31
2014-12-10,REDUCE,2961.9005,2158.4316,-803.4689,167.32,15.45,202493.9
2014-12-12,REDUCE,2158.4316,1719.7748,-438.6568,165.45,13.93,198458.5
2014-12-17,REDUCE,1719.7748,1176.3993,-543.3755,166.19,11.63,199733.29
2014-12-18,REDUCE,1176.3993,836.6659,-339.7334,170.3,9.69,204567.97
2014-12-22,ADD,836.6659,945.0336,108.3677,171.81,10.23,205832.47
2014-12-24,ADD,945.0336,1071.1637,126.1301,172.06,10.94,206067.27
2014-12-29,ADD,1071.1637,1205.0571,133.8933,172.85,11.67,206909.99
2015-01-06,REDUCE,1205.0571,1101.4351,-103.6219,165.48,11.26,198028.17
2015-01-07,REDUCE,1101.4351,999.6197,-101.8154,167.54,10.74,200299.39
2015-01-08,REDUCE,999.6197,860.8238,-138.7959,170.51,9.91,203271.3
2015-01-13,ADD,860.8238,962.4788,101.655,167.35,10.37,200548.11
2015-01-30,REDUCE,962.4788,866.0998,-96.379,165.17,9.43,198451.77
2015-02-03,REDUCE,866.0998,738.2216,-127.8782,169.64,8.67,202317.83
2015-02-09,ADD,738.2216,857.3973,119.1758,169.46,9.26,202189.37
2015-02-17,ADD,857.3973,1001.9144,144.5171,174.0,10.07,206080.44
2015-02-19,ADD,1001.9144,1132.732,130.8176,173.89,10.77,205972.59
2015-02-23,ADD,1132.732,1254.9343,122.2023,174.91,11.41,207126.49
2015-02-25,ADD,1254.9343,1414.7885,159.8543,175.26,12.2,207562.89
2015-02-27,ADD,1414.7885,1565.0826,150.294,174.46,12.92,206426.42
2015-03-04,ADD,1565.0826,1721.2934,156.2108,174.1,13.65,205869.07
2015-03-06,REDUCE,1721.2934,1559.4583,-161.8352,171.84,13.0,201977.57
2015-03-10,REDUCE,1559.4583,1338.0896,-221.3686,169.75,12.06,198723.04
2015-03-12,REDUCE,1338.0896,1206.9398,-131.1499,171.51,11.51,201072.29
2015-03-18,REDUCE,1206.9398,1099.5626,-107.3771,174.29,10.82,204430.68
2015-03-23,ADD,1099.5626,1218.1021,118.5394,174.69,11.33,204865.45
2015-03-30,REDUCE,1218.1021,1104.6701,-113.4319,173.23,10.76,203092.2
2015-04-07,ADD,1104.6701,1270.3147,165.6446,172.42,11.32,202200.89
2015-04-10,ADD,1270.3147,1396.106,125.7913,174.72,11.81,205117.34
2015-04-14,ADD,1396.106,1520.4015,124.2955,174.26,12.32,204478.6
2015-04-16,ADD,1520.4015,1673.0698,152.6684,174.99,12.89,205591.55
2015-04-17,REDUCE,1673.0698,1525.6605,-147.4093,172.98,12.28,202223.58
2015-04-24,ADD,1525.6605,1744.1849,218.5244,176.06,13.14,206919.19
2015-04-29,ADD,1744.1849,1943.2831,199.0981,175.16,13.87,205352.29
2015-04-30,REDUCE,1943.2831,1794.964,-148.3191,173.4,13.33,201941.55
2015-05-01,REDUCE,1794.964,1583.7841,-211.1798,175.28,12.62,205315.98
2015-05-08,REDUCE,1583.7841,1376.9362,-206.8479,176.03,11.65,206501.69
2015-05-12,ADD,1376.9362,1508.2282,131.292,174.67,12.09,204623.24
2015-05-18,ADD,1508.2282,1644.0228,135.7946,177.26,12.57,208537.62
2015-05-20,ADD,1644.0228,1847.3813,203.3586,177.08,13.34,208236.69
2015-05-22,ADD,1847.3813,2035.6874,188.3061,177.17,14.01,208405.88
2015-05-26,REDUCE,2035.6874,1823.8016,-211.8858,175.27,13.26,204527.99
2015-05-27,REDUCE,1823.8016,1663.1147,-160.6869,176.93,12.79,207562.19
2015-06-01,ADD,1663.1147,1854.611,191.4962,175.99,13.43,205999.01
2015-06-03,ADD,1854.611,2034.7117,180.1008,176.28,14.02,206538.9
2015-06-10,REDUCE,2034.7117,1715.9677,-318.7441,175.48,12.78,204897.0
2015-06-17,ADD,1715.9677,1882.9445,166.9768,175.18,13.07,204383.14
2015-06-18,REDUCE,1882.9445,1681.8793,-201.0652,177.0,12.34,207813.39
2015-06-23,ADD,1681.8793,1883.303,201.4237,177.24,12.93,208221.08
2015-06-29,REDUCE,1883.303,1254.8636,-628.4394,171.71,10.46,197799.69
2015-07-08,REDUCE,1254.8636,1044.8691,-209.9945,170.96,9.25,196866.19
2015-07-10,REDUCE,1044.8691,912.7123,-132.1569,173.43,8.59,199442.69
2015-07-20,ADD,912.7123,1060.8743,148.1621,177.7,9.14,203341.26
2015-08-04,ADD,1060.8743,1191.9163,131.042,175.02,9.45,200494.66
2015-08-10,REDUCE,1191.9163,1053.47,-138.4463,176.01,8.79,201680.25
2015-08-18,ADD,1053.47,1217.7715,164.3015,175.52,9.19,201160.7
2015-08-20,REDUCE,1217.7715,819.9658,-397.8057,170.5,7.44,195043.02
2015-08-21,REDUCE,819.9658,497.9097,-322.0561,165.36,5.72,190834.71
2015-08-24,REDUCE,497.9097,282.9721,-214.9375,158.4,4.18,187367.82
2015-08-26,REDUCE,282.9721,151.307,-131.6651,162.55,2.85,188541.02
2015-09-02,REDUCE,151.307,96.5865,-54.7206,163.34,1.93,188661.17
2015-09-24,REDUCE,96.5865,29.1633,-67.4232,162.08,0.46,188539.48
2015-11-04,ADD,29.1633,115.8914,86.7281,176.75,1.42,188967.32
2015-11-20,ADD,115.8914,203.7635,87.8721,175.87,2.41,188865.08
2015-11-30,ADD,203.7635,311.8933,108.1298,175.35,3.24,188758.93
2015-12-16,REDUCE,311.8933,216.8773,-95.016,174.79,2.76,188585.98
2016-01-11,REDUCE,216.8773,131.7412,-85.1361,162.38,1.67,185893.27
2016-01-14,REDUCE,131.7412,58.8219,-72.9193,162.23,0.85,185873.23
2016-01-21,REDUCE,58.8219,-14.2948,-73.1167,157.8,-0.2,185612.7
2016-02-02,ADD,-14.2948,-80.0857,-65.7909,160.73,-1.26,185570.78
2016-02-10,ADD,-80.0857,-168.5673,-88.4816,156.6,-2.38,185901.79
2016-03-23,REDUCE,-168.5673,-81.59,86.9772,172.65,-0.97,183196.39
2016-04-04,REDUCE,-81.59,26.7267,108.3167,175.23,0.28,182985.67
2016-04-13,ADD,26.7267,119.8951,93.1684,176.71,1.3,183025.4
2016-04-19,ADD,119.8951,227.63,107.7349,178.33,2.27,183218.94
2016-04-25,ADD,227.63,360.1485,132.5185,177.23,3.3,182969.47
2016-05-05,ADD,360.1485,499.0271,138.8786,174.14,4.35,181855.71
2016-05-31,ADD,499.0271,614.7835,115.7565,178.28,5.33,183920.42
2016-06-03,ADD,614.7835,755.2493,140.4657,178.65,6.11,184150.23
2016-06-08,ADD,755.2493,917.8052,162.5559,180.43,6.99,185491.29
2016-06-21,ADD,917.8052,1068.3446,150.5394,178.01,7.78,183272.05
2016-06-23,REDUCE,1068.3446,910.6552,-157.6894,180.03,7.26,185434.4
2016-06-24,REDUCE,910.6552,337.9256,-572.7296,173.57,4.35,179547.18
2016-06-28,REDUCE,337.9256,251.1582,-86.7673,173.53,3.72,179535.65
2016-07-13,ADD,251.1582,329.6739,78.5157,183.54,4.56,182049.46
2016-07-18,ADD,329.6739,413.2905,83.6166,184.82,5.33,182468.98
2016-07-21,ADD,413.2905,511.4779,98.1874,184.7,6.14,182419.56
2016-07-26,ADD,511.4779,626.4527,114.9747,185.11,7.01,182629.22
2016-07-29,ADD,626.4527,771.5127,145.06,185.42,7.98,182827.19
2016-08-03,ADD,771.5127,888.1907,116.6779,184.62,8.73,182207.83
2016-08-08,ADD,888.1907,1019.8324,131.6417,186.22,9.49,183626.27
2016-08-10,ADD,1019.8324,1152.9432,133.1108,185.87,10.22,183269.2
2016-08-12,ADD,1152.9432,1284.6421,131.6988,186.57,10.9,184076.57
2016-08-17,ADD,1284.6421,1463.1341,178.4921,186.49,11.84,183977.79
2016-08-19,ADD,1463.1341,1651.0585,187.9243,186.63,12.65,184190.25
2016-08-23,ADD,1651.0585,1854.9779,203.9195,187.0,13.53,184796.62
2016-08-26,ADD,1854.9779,2062.66,207.6821,185.57,14.39,182135.1
2016-08-31,ADD,2062.66,2281.8436,219.1836,185.64,15.18,182293.69
2016-09-06,ADD,2281.8436,2538.346,256.5023,187.05,16.05,185509.22
2016-09-07,ADD,2538.346,2710.4943,172.1483,187.04,16.56,185465.65
2016-09-09,REDUCE,2710.4943,1160.365,-1550.1293,182.14,10.82,172202.03
2016-09-12,REDUCE,1160.365,882.7563,-277.6087,184.76,9.75,175234.35
2016-09-15,REDUCE,882.7563,781.6045,-101.1519,183.85,9.02,174435.26
2016-09-20,ADD,781.6045,902.6611,121.0567,183.18,9.55,173913.29
2016-10-06,ADD,902.6611,1007.1402,104.479,185.21,9.88,175741.76
2016-10-20,ADD,1007.1402,1166.3588,159.2186,183.58,10.2,174099.31
2016-10-26,ADD,1166.3588,1340.9765,174.6178,183.46,10.78,173959.15
2016-10-31,ADD,1340.9765,1493.7408,152.7642,182.44,11.23,172589.47
2016-11-07,REDUCE,1493.7408,687.1704,-806.5704,182.95,7.35,173358.7
2016-11-14,ADD,687.1704,803.1737,116.0033,185.9,7.8,175387.72
2016-11-18,ADD,803.1737,926.9408,123.7672,187.54,8.47,176704.37
2016-11-23,ADD,926.9408,1062.158,135.2171,189.43,9.21,178454.73
2016-11-29,ADD,1062.158,1214.4143,152.2563,189.61,10.03,178646.15
2016-12-02,ADD,1214.4143,1389.2186,174.8043,188.56,10.87,177364.1
2016-12-07,REDUCE,1389.2186,1223.1203,-166.0983,192.78,10.32,183230.72
2016-12-09,ADD,1223.1203,1389.1223,166.002,194.42,11.11,185235.85
2016-12-13,ADD,1389.1223,1521.0454,131.9231,195.49,11.84,186726.25
2016-12-20,ADD,1521.0454,1748.3817,227.3363,195.47,13.19,186692.97
2016-12-22,ADD,1748.3817,1913.7272,165.3455,194.59,13.97,185153.13
2016-12-27,ADD,1913.7272,2166.7469,253.0197,195.36,15.05,186623.76
2016-12-28,REDUCE,2166.7469,1949.9647,-216.7822,193.74,14.29,183125.41
2017-01-05,ADD,1949.9647,2144.2193,194.2547,195.47,15.26,186492.65
2017-01-09,ADD,2144.2193,2317.4071,173.1877,195.52,15.96,186603.6
2017-01-11,ADD,2317.4071,2568.3062,250.8991,196.07,16.99,187884.09
2017-01-13,ADD,2568.3062,2807.1684,238.8622,196.03,17.88,187773.26
2017-01-18,ADD,2807.1684,2985.8168,178.6484,195.77,18.57,187046.15
2017-01-23,ADD,2985.8168,3217.6211,231.8043,195.25,19.31,185499.25
2017-01-24,REDUCE,3217.6211,3032.5945,-185.0266,196.51,18.88,189527.61
2017-01-25,REDUCE,3032.5945,2764.5121,-268.0824,198.21,17.92,194685.61
2017-01-26,ADD,2764.5121,2993.2176,228.7056,198.0,18.47,194112.63
2017-02-01,ADD,2993.2176,3214.7708,221.5532,196.52,19.56,189693.65
2017-02-06,ADD,3214.7708,3407.0541,192.2833,197.65,20.0,193329.59
2017-02-10,ADD,3407.0541,3623.7541,216.7,199.88,20.0,200918.83
2017-02-15,ADD,3623.7541,3821.9254,198.1712,202.83,20.0,211587.77
2017-02-17,ADD,3821.9254,4051.9495,230.0241,202.97,20.0,212148.68
2017-02-23,ADD,4051.9495,4272.1408,220.1913,204.14,20.0,216871.71
2017-02-27,ADD,4272.1408,4536.9333,264.7925,204.72,20.0,219342.78
2017-03-01,REDUCE,4536.9333,3479.7157,-1057.2176,207.02,20.0,229801.34
2017-03-10,ADD,3479.7157,3712.6085,232.8928,205.22,20.0,223522.23
2017-03-21,REDUCE,3712.6085,3178.7515,-533.857,202.68,20.0,214088.38
2017-03-27,ADD,3178.7515,3373.1378,194.3863,202.58,20.0,213785.09
2017-03-31,ADD,3373.1378,3553.684,180.5462,204.42,20.0,219986.14
2017-04-05,ADD,3553.684,3753.1756,199.4916,203.59,20.0,217027.79
2017-04-10,ADD,3753.1756,4000.7521,247.5765,204.07,20.0,218850.32
2017-04-17,REDUCE,4000.7521,3401.6611,-599.091,203.4,20.0,216179.22
2017-04-18,ADD,3401.6611,3583.0217,181.3606,202.8,20.0,214114.28
2017-04-20,REDUCE,3583.0217,3363.4938,-219.5279,204.07,20.0,218681.51
2017-04-24,REDUCE,3363.4938,3058.5713,-304.9226,205.66,19.84,224019.09
2017-04-26,ADD,3058.5713,3309.9923,251.421,206.73,20.0,227281.19
2017-05-01,ADD,3309.9923,3520.2012,210.2089,206.97,20.0,228084.9
2017-05-03,ADD,3520.2012,3736.6954,216.4941,206.79,20.0,227474.28
2017-05-08,ADD,3736.6954,4024.6663,287.971,207.82,20.0,231297.75
2017-05-11,ADD,4024.6663,4301.2009,276.5346,207.58,20.0,230320.51
2017-05-17,REDUCE,4301.2009,2808.4815,-1492.7194,204.49,18.47,217042.68
2017-05-18,REDUCE,2808.4815,2642.4459,-166.0356,205.31,18.52,219356.37
2017-05-23,ADD,2642.4459,2792.527,150.081,208.16,18.64,226871.99
2017-05-25,ADD,2792.527,3007.9405,215.4135,209.64,19.28,231012.72
2017-05-26,ADD,3007.9405,3218.893,210.9525,209.6,19.84,230882.42
2017-05-31,ADD,3218.893,3407.7362,188.8432,209.36,20.0,230128.63
2017-06-07,ADD,3407.7362,3617.3364,209.6002,211.29,20.0,236688.84
2017-06-09,ADD,3617.3364,3823.4984,206.162,211.07,20.0,235904.56
2017-06-14,ADD,3823.4984,4046.3883,222.8899,211.79,20.0,238656.55
2017-06-20,REDUCE,4046.3883,3814.9159,-231.4724,211.75,20.0,238498.86
2017-06-23,ADD,3814.9159,4022.8332,207.9173,211.86,20.0,238897.72
2017-06-28,REDUCE,4022.8332,3454.1795,-568.6537,212.17,20.0,240159.46
2017-07-07,REDUCE,3454.1795,3131.8921,-322.2874,210.97,19.79,236006.02
2017-07-10,ADD,3131.8921,3314.5976,182.7055,211.19,20.0,236715.49
2017-07-17,ADD,3314.5976,3619.8397,305.2421,213.95,20.0,245842.42
2017-07-20,ADD,3619.8397,3874.115,254.2753,215.31,20.0,250794.35
2017-07-25,ADD,3874.115,4150.8383,276.7233,215.59,20.0,251874.72
2017-07-27,ADD,4150.8383,4397.9924,247.1541,215.4,20.0,251078.96
2017-08-01,ADD,4397.9924,4662.6744,264.6821,215.51,20.0,251538.92
2017-08-03,ADD,4662.6744,4915.2045,252.5301,215.19,20.0,250076.14
2017-08-08,ADD,4915.2045,5217.1084,301.904,215.45,20.0,251361.12
2017-08-10,REDUCE,5217.1084,3826.4703,-1390.6381,212.4,20.0,235449.87
2017-08-14,REDUCE,3826.4703,3318.7544,-507.7159,214.83,20.0,244719.09
2017-08-15,ADD,3318.7544,3528.1771,209.4227,214.8,20.0,244632.4
2017-08-17,REDUCE,3528.1771,2581.5865,-946.5906,211.82,17.42,234118.17
2017-08-22,REDUCE,2581.5865,2281.4276,-300.159,213.87,16.62,239404.45
2017-08-24,ADD,2281.4276,2515.3449,233.9173,212.6,17.2,236521.99
2017-08-28,ADD,2515.3449,2736.8115,221.4667,213.11,17.83,237793.25
2017-09-01,ADD,2736.8115,3036.2089,299.3973,215.96,18.42,245591.26
2017-09-08,ADD,3036.2089,3248.9493,212.7405,214.86,19.0,242257.85
2017-09-11,REDUCE,3248.9493,2697.9563,-550.993,217.15,17.36,249703.63
2017-09-12,ADD,2697.9563,2892.1726,194.2163,217.88,17.72,251678.31
2017-09-13,ADD,2892.1726,3085.1359,192.9633,217.99,18.26,251980.74
2017-09-14,ADD,3085.1359,3263.2704,178.1344,217.92,18.78,251765.56
2017-09-15,ADD,3263.2704,3444.0046,180.7343,218.21,19.33,252722.99
2017-09-18,ADD,3444.0046,3637.2187,193.214,218.68,19.86,254321.28
2017-09-20,ADD,3637.2187,3902.3402,265.1215,218.97,20.0,255404.3
2017-09-26,ADD,3902.3402,4191.7954,289.4552,218.12,20.0,252055.31
2017-09-29,ADD,4191.7954,4468.2957,276.5003,220.0,20.0,259947.55
2017-10-03,ADD,4468.2957,4721.5306,253.2349,221.43,20.0,266325.45
2017-10-06,ADD,4721.5306,4992.2721,270.7416,222.75,20.0,272568.57
2017-10-11,ADD,4992.2721,5291.1696,298.8974,223.32,20.0,275409.86
2017-10-16,ADD,5291.1696,5678.3574,387.1878,223.55,20.0,276661.28
2017-10-18,ADD,5678.3574,6043.97,365.6126,223.93,20.0,278799.16
2017-10-25,REDUCE,6043.97,5704.4372,-339.5327,223.55,20.0,276523.63
2017-10-27,REDUCE,5704.4372,5153.8916,-550.5456,225.67,20.0,288612.31
2017-11-01,ADD,5153.8916,5485.9169,332.0252,225.48,20.0,287619.14
2017-11-06,ADD,5485.9169,5964.6704,478.7535,226.67,20.0,294152.67
2017-11-13,ADD,5964.6704,6349.6895,385.0191,226.22,20.0,291436.64
2017-11-15,REDUCE,6349.6895,5998.4256,-351.2638,224.56,20.0,280927.81
2017-11-16,REDUCE,5998.4256,5097.861,-900.5646,226.47,20.0,292378.24
2017-11-20,ADD,5097.861,5387.6118,289.7508,226.19,20.0,290949.99
2017-11-27,ADD,5387.6118,5692.9279,305.3161,227.88,20.0,300055.72
2017-11-28,REDUCE,5692.9279,4883.6323,-809.2956,230.19,20.0,313216.36
2017-11-29,ADD,4883.6323,5211.8061,328.1737,230.05,20.0,312532.28
2017-11-30,REDUCE,5211.8061,4825.0866,-386.7195,232.07,20.0,323028.9
2017-12-04,ADD,4825.0866,5086.3988,261.3122,231.3,20.0,319353.61
2017-12-11,ADD,5086.3988,5401.6151,315.2163,233.2,20.0,329018.83
2017-12-13,ADD,5401.6151,5774.2004,372.5853,233.59,20.0,331099.9
2017-12-15,REDUCE,5774.2004,5141.8703,-632.3301,234.57,20.0,336774.81
2017-12-21,ADD,5141.8703,5423.5743,281.704,235.51,20.0,341616.89
2017-12-27,ADD,5423.5743,5816.7111,393.1368,235.29,20.0,340375.86
2018-01-02,REDUCE,5816.7111,5523.5697,-293.1414,236.56,20.0,347799.32
2018-01-08,ADD,5523.5697,5985.5934,462.0237,241.09,20.0,372836.59
